===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-10-28 18:40:09
count workspace : /Users/michael/devmountain/personal-projects/devmtn-personal-project
total files : 105
total code lines : 13794
total comment lines : 552
total blank lines : 559

.env, code is 7, comment is 3, blank is 0.
.gitignore, code is 18, comment is 1, blank is 7.
db/active_users_transactions.sql, code is 4, comment is 0, blank is 0.
db/add_product.sql, code is 12, comment is 0, blank is 0.
db/add_user.sql, code is 6, comment is 1, blank is 0.
db/all_products.sql, code is 1, comment is 0, blank is 0.
db/all_users.sql, code is 1, comment is 0, blank is 0.
db/auto_complete_user_list.sql, code is 1, comment is 0, blank is 0.
db/create_tables/company_table.sql, code is 6, comment is 0, blank is 0.
db/create_tables/dummyData/employee_table_data.sql, code is 230, comment is 6, blank is 3.
db/create_tables/dummyData/product_table_data.sql, code is 20, comment is 0, blank is 2.
db/create_tables/employee_table.sql, code is 12, comment is 0, blank is 0.
db/create_tables/messages_table.sql, code is 8, comment is 0, blank is 0.
db/create_tables/products_tables.sql, code is 12, comment is 0, blank is 1.
db/create_tables/transactions_table.sql, code is 9, comment is 0, blank is 0.
db/create_user.sql, code is 4, comment is 1, blank is 0.
db/delete_product.sql, code is 2, comment is 0, blank is 0.
db/delete_user.sql, code is 2, comment is 0, blank is 0.
db/edit_employee.sql, code is 4, comment is 0, blank is 0.
db/employees_and_users_joined_on_email.sql, code is 3, comment is 0, blank is 0.
db/find_current_user.sql, code is 4, comment is 2, blank is 0.
db/find_in_employee_table.sql, code is 3, comment is 0, blank is 0.
db/find_in_users_table.sql, code is 3, comment is 0, blank is 0.
db/find_user.sql, code is 3, comment is 0, blank is 0.
db/get_active_user.sql, code is 2, comment is 5, blank is 1.
db/get_single_product.sql, code is 2, comment is 0, blank is 0.
db/PPSQL/create_company.sql, code is 5, comment is 0, blank is 0.
db/PPSQL/create_transaction.sql, code is 5, comment is 0, blank is 0.
db/purchase_product.sql, code is 11, comment is 5, blank is 4.
db/send_points.sql, code is 11, comment is 6, blank is 3.
db/users_point_history.sql, code is 5, comment is 0, blank is 0.
db/users_table.sql, code is 7, comment is 0, blank is 0.
package-lock.json, code is 10909, comment is 0, blank is 0.
package.json, code is 36, comment is 0, blank is 0.
personal-project-planning-sketch.sketch, it is a binary file.
public/favicon.ico, it is a binary file.
public/index.html, code is 17, comment is 23, blank is 0.
public/manifest.json, code is 15, comment is 0, blank is 0.
README.md, code is 0, comment is 0, blank is 0.
server/controllers/products_controller.js, code is 50, comment is 4, blank is 13.
server/controllers/user_controller.js, code is 51, comment is 24, blank is 18.
server/server.js, code is 82, comment is 53, blank is 32.
src/App.css, code is 41, comment is 4, blank is 9.
src/App.js, code is 32, comment is 0, blank is 14.
src/App.test.js, code is 7, comment is 0, blank is 1.
src/assets/notification.svg, code is 16, comment is 1, blank is 1.
src/components/AddEmployee/AddEmployee.css, code is 0, comment is 40, blank is 0.
src/components/AddEmployee/AddEmployee.js, code is 105, comment is 7, blank is 26.
src/components/AddEmployee/SearchAutoComplete.js, code is 36, comment is 0, blank is 7.
src/components/AddProduct/AddProduct.css, code is 0, comment is 40, blank is 0.
src/components/AddProduct/AddProduct.js, code is 77, comment is 1, blank is 18.
src/components/Admin/Admin.css, code is 0, comment is 0, blank is 0.
src/components/Admin/Admin.js, code is 33, comment is 1, blank is 17.
src/components/AllEmployees/AllEmployees.css, code is 0, comment is 0, blank is 0.
src/components/AllEmployees/AllEmployees.js, code is 50, comment is 7, blank is 8.
src/components/AllEmployees/AutoSuggest.js, code is 30, comment is 38, blank is 15.
src/components/AllEmployees/SearchAutoComplete.js, code is 34, comment is 1, blank is 4.
src/components/AutoCompleteSearch/AutoCompleteSearch.css, code is 0, comment is 0, blank is 0.
src/components/AutoCompleteSearch/AutoCompleteSearch.js, code is 26, comment is 2, blank is 10.
src/components/AutoSuggest/AutoSuggest.css, code is 0, comment is 0, blank is 0.
src/components/Balances/Balances.css, code is 0, comment is 0, blank is 0.
src/components/Balances/Balances.js, code is 42, comment is 2, blank is 10.
src/components/Cart/Cart.css, code is 30, comment is 0, blank is 1.
src/components/Cart/Cart.js, code is 78, comment is 35, blank is 21.
src/components/Dashboard/Dashboard.css, code is 64, comment is 6, blank is 26.
src/components/Dashboard/Dashboard.js, code is 85, comment is 2, blank is 17.
src/components/Details/Details.css, code is 14, comment is 0, blank is 1.
src/components/Details/Details.js, code is 42, comment is 5, blank is 10.
src/components/EditEmployee/EditEmployee.css, code is 13, comment is 14, blank is 2.
src/components/EditEmployee/EditEmployee.js, code is 86, comment is 1, blank is 22.
src/components/EditProfile/EditProfile.css, code is 0, comment is 0, blank is 0.
src/components/EditProfile/EditProfile.js, code is 81, comment is 1, blank is 18.
src/components/FriendProfile/FriendProfile.css, code is 0, comment is 0, blank is 0.
src/components/FriendProfile/FriendProfile.js, code is 28, comment is 0, blank is 6.
src/components/GivePoints/GivePoints.css, code is 0, comment is 0, blank is 0.
src/components/GivePoints/GivePoints.js, code is 99, comment is 7, blank is 24.
src/components/GivePoints/SearchAutoComplete.js, code is 36, comment is 0, blank is 7.
src/components/Home/custom.css, code is 0, comment is 0, blank is 0.
src/components/Home/Home.css, code is 7, comment is 0, blank is 2.
src/components/Home/Home.js, code is 31, comment is 1, blank is 9.
src/components/Login/Login.css, code is 4, comment is 0, blank is 2.
src/components/Login/Login.js, code is 11, comment is 0, blank is 2.
src/components/Logout/Logout.css, code is 0, comment is 0, blank is 0.
src/components/Logout/Logout.js, code is 12, comment is 0, blank is 2.
src/components/Nav/Nav.css, code is 68, comment is 23, blank is 14.
src/components/Nav/Nav.js, code is 125, comment is 4, blank is 19.
src/components/Nav/Notification.css, code is 0, comment is 0, blank is 0.
src/components/Nav/Notification.js, code is 0, comment is 0, blank is 0.
src/components/Nav/SearchAutoComplete.js, code is 35, comment is 0, blank is 7.
src/components/Private/Private.css, code is 3, comment is 0, blank is 0.
src/components/Private/Private.js, code is 40, comment is 1, blank is 7.
src/components/Profile/GivePoints.js, code is 0, comment is 0, blank is 0.
src/components/Profile/Profile.css, code is 118, comment is 11, blank is 22.
src/components/Profile/Profile.js, code is 137, comment is 8, blank is 14.
src/components/Shop/Shop.css, code is 23, comment is 0, blank is 5.
src/components/Shop/Shop.js, code is 90, comment is 83, blank is 24.
src/components/SideBar/SideBar.css, code is 0, comment is 0, blank is 0.
src/components/SideBar/SideBar.js, code is 29, comment is 6, blank is 8.
src/ducks/reducer.js, code is 110, comment is 28, blank is 23.
src/index.css, code is 42, comment is 5, blank is 1.
src/index.js, code is 15, comment is 0, blank is 1.
src/logo.svg, code is 7, comment is 0, blank is 0.
src/registerServiceWorker.js, code is 72, comment is 26, blank is 10.
src/router.js, code is 43, comment is 7, blank is 6.
src/store.js, code is 4, comment is 0, blank is 2.
===============================================================================
